symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style
3,122,alfa-romero,gas,std,two,convertible
3,122,alfa-romero,gas,std,two,convertible
1,122,alfa-romero,gas,std,two,hatchback
2,164,audi,gas,std,four,sedan
2,164,audi,gas,std,four,sedan
2,122,audi,gas,std,two,sedan
1,158,audi,gas,std,four,sedan
1,122,audi,gas,std,four,wagon
1,158,audi,gas,turbo,four,sedan
2,192,bmw,gas,std,two,sedan
0,192,bmw,gas,std,four,sedan
0,188,bmw,gas,std,two,sedan
0,188,bmw,gas,std,four,sedan
1,122,bmw,gas,std,four,sedan
0,122,bmw,gas,std,four,sedan
0,122,bmw,gas,std,two,sedan
0,122,bmw,gas,std,four,sedan
2,121,chevrolet,gas,std,two,hatchback
1,98,chevrolet,gas,std,two,hatchback
